"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",32,"GmJMC032","C1",48,NA,0.040912909,0.090107736,0.18104292,0.278835754,0.298508067,0.356107066,0.454225906,NA,0.671806712,0.670148395,0.68943125,0.795345269,0.652137106,0.455732798,0.444390609,0.381450712
NA,2017,"Tottori","Jul",113,"GmWMC113","C1",49,NA,0.056542885,0.132789094,0.200213629,0.32881842,0.353823129,0.395598174,0.532615134,NA,0.715351838,0.70785107,0.74216875,0.979666796,0.70967612,0.474955078,0.501309772,0.392747897
NA,2017,"Tottori","Jul",54,"GmJMC054","C1",50,NA,0.094481758,0.218104182,0.317934928,0.467953077,0.511738972,0.557218891,0.69613065,NA,1.073141103,1.025819178,1.0231125,1.119486882,1.041338351,0.818579546,0.814343458,0.611119807
NA,2017,"Tottori","Jul",147,"GmWMC147","C1",51,NA,0.11820893,0.196510475,0.296637584,0.427118418,0.435006899,0.495716478,0.609856156,0.802307793,0.878280268,0.899295395,0.93399375,1.160151231,1.038360083,1.100193437,1.088425218,1.10940606
NA,2017,"Tottori","Jul",4,"GmJMC004","C1",52,NA,0.089640807,0.181078744,0.258587571,0.36582961,0.363421424,0.413454241,0.437203415,0.481215008,0.556431704,0.518045413,0.50245,0.716989215,0.557058715,0.689236069,0.682082022,0.666672224
NA,2017,"Tottori","Jul",15,"GmWMC015","C1",53,NA,0.090263111,0.180203565,0.27032436,0.410221512,0.42725443,0.487389646,0.617492414,0.742204037,0.793096273,0.77451686,0.77555,0.92403338,0.792935687,0.75840632,0.792902894,0.779799661
NA,2017,"Tottori","Jul",74,"GmWMC074","C1",54,NA,0.0486483,0.133366594,0.233043159,0.333678475,0.365424688,0.418239307,0.553919186,0.705532975,0.700091466,0.68227187,0.698275,0.792222671,0.71531221,0.666818397,0.695172127,0.653914271
NA,2017,"Tottori","Jul",84,"GmWMC084","C1",55,NA,0.064176971,0.128038122,0.221740376,0.337467959,0.362091343,0.39385592,0.532580549,0.647803143,0.639534271,0.62674369,0.6127375,0.73919142,0.667019023,0.57492092,0.63082149,0.61273616
NA,2017,"Tottori","Jul",150,"GmWMC150","C1",56,NA,0.029696954,0.062453264,0.115235059,0.185044619,0.201200463,0.231130957,0.314220933,0.373461684,0.387908149,0.397130403,0.4115,0.559112747,0.47174452,0.67568561,0.759305681,0.724100303
NA,2017,"Tottori","Jul",223,"C1329","C1",57,NA,0.071362418,0.151173811,0.271477579,0.383910374,0.411136026,0.455039328,0.643908055,0.914873124,1.160653824,1.160736135,1.27385,1.306437036,1.301456166,1.173278043,1.189528007,1.198780884
NA,2017,"Tottori","Jul",170,"GmWMC170","C1",58,NA,0.03933544,0.094561029,0.171550567,0.276711604,0.298594929,0.342774318,0.524626114,0.710965197,1.021146614,0.974021298,1.10028125,1.242953019,1.221174868,1.206929515,1.216547604,1.223363282
NA,2017,"Tottori","Jul",36,"GmWMC036","C1",59,NA,0.034262934,0.076444224,0.158672959,0.238335294,0.251694662,0.281958992,0.383770363,0.479361494,0.559213811,0.562435983,0.6209875,0.668244921,0.625907609,0.61901733,0.640597461,0.628735464
NA,2017,"Tottori","Jul",121,"GmJMC121","C1",60,NA,0.068330492,0.144577222,0.255152715,0.351764904,0.369089195,0.416832416,0.558401337,0.668312988,0.66484114,0.691957328,0.66595625,0.882195851,0.774519432,0.897266074,0.923905248,0.923222916
NA,2017,"Tottori","Jul",68,"GmJMC068","C1",61,NA,0.07870706,0.090208947,0.178761283,0.271557,0.279387481,0.341670072,0.405565515,0.431861633,0.451577183,0.44918141,0.425425,0.563999525,0.513053856,0.458209227,0.525369804,0.508157244
NA,2017,"Tottori","Jul",1,"GmWMC001","C1",62,NA,0.059046576,0.143523435,0.147946786,0.202598595,0.198475155,0.233445784,0.250246525,0.209511242,0.25468644,0.190325235,0.175875,0.280769247,0.205754992,0.18557239,0.169635892,0.132454526
NA,2017,"Tottori","Jul",1138,"Nagoyadai5","C1",63,NA,0.002583288,0.013770677,0.050555615,0.09969344,0.110277246,0.183043089,0.272339104,0.450696187,0.557328161,0.505095943,0.45264375,0.671949699,0.574155483,0.697514131,0.755535673,0.652954831
NA,2017,"Tottori","Jul",221,"C0394","C1",64,NA,0.078366963,0.187002576,0.258246565,0.381146147,0.406792906,0.47973354,0.563187832,0.624819569,0.735218143,0.71680379,0.6789625,0.775295364,0.740476693,0.671062277,0.719485423,0.629012059
NA,2017,"Tottori","Jul",64,"GmJMC064","C1",65,NA,0.103143369,0.185615387,0.277683879,0.436464678,0.433470521,0.500706034,0.596596459,0.63771575,0.720720275,0.702562038,0.64670625,0.813278159,0.714774991,0.701158875,0.70407253,0.582250183
NA,2017,"Tottori","Jul",20,"GmWMC020","C1",66,NA,0.094930396,0.183960286,0.273672414,0.419777355,0.437536767,0.510259807,0.6650046,0.80109588,0.876095798,0.881349988,0.83630625,0.991592653,0.91512009,0.913862141,0.947531115,0.837530266
NA,2017,"Tottori","Jul",185,"GmWMC185","C1",67,NA,0.090624916,0.186663221,0.330018923,0.443783082,0.481554288,0.550241692,0.709252009,0.870559881,1.110977758,1.087875383,1.225325,1.258901206,1.251513621,1.25510005,1.263249394,1.227762875
NA,2017,"Tottori","Jul",123,"GmWMC123","C1",68,NA,0.078489977,0.128335802,0.250037633,0.395573374,0.411874356,0.469893481,0.558933938,0.784399996,0.92696714,0.932561678,0.93569375,1.116814149,1.057247582,1.163592011,1.249262012,1.213232983
NA,2017,"Tottori","Jul",131,"GmJMC131","C1",69,NA,0.135828833,0.173291435,0.364293076,0.554323848,0.563498104,0.658351465,0.814693233,1.033854465,1.117160218,1.104928183,1.1104875,1.183905914,1.138056675,1.139207176,1.145785782,1.162953162
