"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20180722","CanopyArea_20180723","CanopyArea_20180724","CanopyArea_20180725","CanopyArea_20180726","CanopyArea_20180727","CanopyArea_20180728","CanopyArea_20180731","CanopyArea_20180801","CanopyArea_20180802","CanopyArea_20180803","CanopyArea_20180804","CanopyArea_20180805","CanopyArea_20180807","CanopyArea_20180808","CanopyArea_20180809","CanopyArea_20180810","CanopyArea_20180812","CanopyArea_20180813","CanopyArea_20180814","CanopyArea_20180817","CanopyArea_20180818","CanopyArea_20180820","CanopyArea_20180825","CanopyArea_20180827","CanopyArea_20180828"
NA,2018,"Tottori","Jul",17,"GmJMC017","C2",109,0,0.01873,0.02548,0.03312,0.03498,0.03499,0.04127,0.06113,0.09897,0.11272,0.14411,0.17402,0.19068,0.21683,0.26634,0.28721,0.3003,0.33129,0.38085,0.41657,0.42439,0.41059,0.46836,0.54488,0.8773,0.85968,0.97191
NA,2018,"Tottori","Jul",101,"GmJMC101","C2",110,0,0.01713,0.02313,0.03017,0.03067,0.02618,0.03056,0.06127,0.08041,0.08682,0.11244,0.14035,0.16026,0.18937,0.21852,0.26472,0.26454,0.31656,0.36853,0.39845,0.4041,0.41051,0.44816,0.50098,0.71514,0.71282,0.81999
NA,2018,"Tottori","Jul",69,"GmJMC069","C2",111,0,0.01909,0.02621,0.02962,0.02607,0.02521,0.02446,0.04458,0.07702,0.092,0.11488,0.14372,0.17172,0.19261,0.22106,0.2591,0.29481,0.35228,0.39446,0.4219,0.4307,0.44347,0.48381,0.5431,0.71265,0.70161,0.79128
NA,2018,"Tottori","Jul",162,"GmWMC162","C2",112,0,0.01447,0.01794,0.02209,0.01915,0.02179,0.02203,0.03034,0.04927,0.05436,0.07917,0.11094,0.10537,0.14588,0.20135,0.20812,0.24981,0.28109,0.36067,0.38778,0.36594,0.3911,0.44711,0.51799,0.75564,0.68676,0.88614
NA,2018,"Tottori","Jul",47,"GmJMC047","C2",113,0,0.01289,0.01798,0.02178,0.02036,0.02484,0.02459,0.04252,0.07437,0.08707,0.10928,0.13045,0.14882,0.16456,0.20282,0.24816,0.27706,0.34193,0.36234,0.44058,0.4299,0.3656,0.48393,0.54853,0.63068,0.58547,0.67334
NA,2018,"Tottori","Jul",135,"GmWMC135","C2",114,0,0.01854,0.02402,0.02621,0.02263,0.02616,0.02653,0.0494,0.06832,0.07521,0.09642,0.12866,0.13808,0.14663,0.16381,0.1997,0.25323,0.27239,0.31652,0.34983,0.35324,0.33692,0.37384,0.44345,0.74293,0.69307,0.87144
NA,2018,"Tottori","Jul",167,"GmJMC167","C2",115,0,0.02581,0.02938,0.03266,0.03238,0.03383,0.03616,0.0545,0.07168,0.08087,0.09399,0.11967,0.14439,0.14824,0.19174,0.24448,0.27033,0.30995,0.36658,0.39987,0.41435,0.4218,0.46579,0.53613,0.74423,0.78642,0.86632
NA,2018,"Tottori","Jul",183,"GmWMC183","C2",116,0,0.01394,0.01824,0.02077,0.01791,0.01754,0.01939,0.02655,0.05001,0.04714,0.05784,0.08489,0.0852,0.08947,0.1156,0.12401,0.15531,0.18412,0.23292,0.26754,0.26721,0.28667,0.32217,0.35696,0.53633,0.5588,0.64153
NA,2018,"Tottori","Jul",111,"GmJMC111","C2",117,0,0.01959,0.0239,0.02712,0.02809,0.02846,0.02988,0.05283,0.07769,0.08412,0.09701,0.12142,0.14242,0.14714,0.17123,0.22855,0.25028,0.29191,0.32774,0.36968,0.39332,0.38087,0.45836,0.51358,0.78436,0.76749,0.85652
NA,2018,"Tottori","Jul",34,"GmJMC034","C2",118,0,0.02895,0.03292,0.03422,0.03598,0.03608,0.03992,0.06876,0.08885,0.08883,0.11519,0.14715,0.15701,0.17693,0.19437,0.23517,0.26639,0.30619,0.35502,0.38335,0.39085,0.38712,0.39322,0.47371,0.58693,0.60657,0.63813
NA,2018,"Tottori","Jul",56,"GmJMC056","C2",119,0,0.01404,0.01875,0.02262,0.02237,0.02237,0.02157,0.0389,0.05014,0.05846,0.06179,0.08704,0.09328,0.10027,0.12151,0.14941,0.18418,0.21214,0.26975,0.2973,0.296,0.30706,0.35894,0.41552,0.51652,0.52513,0.58977
NA,2018,"Tottori","Jul",143,"GmWMC143","C2",120,0,0.01139,0.01552,0.01704,0.0156,0.01774,0.01577,0.0302,0.04567,0.05905,0.07516,0.09557,0.10027,0.11922,0.15204,0.17786,0.20814,0.2412,0.30517,0.34576,0.35161,0.36506,0.40689,0.47653,0.68212,0.70036,0.80028
NA,2018,"Tottori","Jul",26,"GmJMC026","C2",121,0,0.00676,0.00988,0.01081,0.01075,0.01136,0.01209,0.01611,0.02493,0.02853,0.03522,0.0462,0.04764,0.05807,0.0662,0.07906,0.10271,0.11815,0.14688,0.16758,0.16242,0.17342,0.18078,0.21819,0.24293,0.26494,0.2722
NA,2018,"Tottori","Jul",179,"GmJMC179","C2",122,0,0.02017,0.02462,0.02658,0.0255,0.02993,0.031,0.04089,0.05766,0.07451,0.09059,0.12334,0.13409,0.16271,0.20594,0.23627,0.26574,0.29844,0.35935,0.3928,0.38512,0.41909,0.42828,0.53127,0.74107,0.70583,0.85115
